SNo,Cluster Code,School Name,Region name,School category,School Management,Location,School type,Number of students,Boys,Girls,Male teachers,Female teachers
679,19170100220,SINTHEE R.K. SANGHA VIDYA MAN,WARD-2,Up. Primary with sec./H.sec,Department of Education,Urban,Co-Educational,545,0,545,24,6
680,19170100222,SINTHI R.K. SANGHA VID MAN (G),WARD-2,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,502,502,0,18
681,19170100346,AL - HAMD MODERN SCHOOL,WARD-3,Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,1,6
682,19170100340,BLUE BELL DAY SCHOOL(ENG.MED),WARD-3,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,0,0,0,0,10
683,19170100344,IDEAL HIGH SCHOOL,WARD-3,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,1,9
684,19170100327,SHREE SHARADA SHANTI NIKETAN,WARD-3,Upper Primary only,Department of Education,Urban,Co-Educational,46,83,129,2,0
685,19170100341,T.N.H.(K.G + PRY) SCHOOL,WARD-3,Primary,Pvt. Unaided,Urban,Co-Educational,68,60,128,3,0
686,19170103439,CHILDREN'S PARADISE HIGH SCHOOL,WARD-31,Upper Primary only,Pvt. Unaided,Urban,Co-Educational,9,9,18,3,2
687,19170100430,BABY SCHOOL,WARD-4,Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,0,6
688,19170100427,INDIRA ACADEMY,WARD-4,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,131,50,181,0,10
689,19170100425,K.M.C.P. SCH(D)25/59 DUDMDUM R,WARD-4,Primary,Local body,Urban,Co-Educational,71,78,149,1,2
690,19170100428,PAIKPARA KISHALAYA SISHU VIDYALAYA,WARD-4,Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,0,4
691,19170100417,USHA VIDYALAYA,WARD-4,Primary,Department of Education,Urban,Co-Educational,10,10,20,2,1
692,19170100516,K.M.C.P 9NRITYA GOPALCHATTE(D),WARD-5,Primary,Local body,Urban,Co-Educational,21,16,37,1,1
693,19170100522,K.M.C.P. SCH(D)95/2 BELGACHIA,WARD-5,Primary,Local body,Urban,Boys only,87,0,87,3,0
694,19170100519,K.M.C.P.SCH.(M)95/2 BELGACHIA,WARD-5,Primary,Local body,Urban,Girls only,0,129,129,0,5
695,19170100517,K.M.C.P.SCH.TALLAH PARK (D),WARD-5,Primary,Local body,Urban,Co-Educational,21,14,35,3,0
696,19170100520,KMCP TALAPARK(M),WARD-5,Primary,Local body,Urban,Co-Educational,14,16,30,1,1
697,19170100518,"KMCP3A,NILMONI MITRA ROW(M)",WARD-5,Primary,Local body,Urban,Co-Educational,2,5,7,1,2
698,19170100521,"KMCP3A,NILMONIMITRAROW(D)",WARD-5,Primary,Local body,Urban,Co-Educational,30,42,72,2,2
699,19170106229,KMCP SCH (UMG)5/A R.C.P.LANE K-46,WARD-59,Primary,Local body,Urban,Co-Educational,49,49,98,1,2
700,19170108612,TOMORROW'S FOUNDATION MODEL SCHOOL,WARD-83,Primary,Pvt. Unaided,Urban,Co-Educational,27,24,51,0,5
,,Cluster Code & Name:,1917010096,DR. A.M.O GHANI MEMO. PRY,,,,,,,,
701,19170106205,ALLAH BHAROSA G.S.F.P. SCHOOL,WARD-59,Primary,Department of Education,Urban,Co-Educational,47,80,127,2,2
702,19170106204,DR. B.R. AMBEDKAR VIDYALAYA,WARD-59,Primary,Department of Education,Urban,Co-Educational,133,118,251,2,4
State Name :,WEST BENGAL,,,District Code & Name :,1917,KOLKATA,,Total Schools in this district :,,2723,Year,:
703,19170106208,TILJALA BOY GIRLS PRY SCHOOL,,WARD-59,Primary,Department of Education,Urban,Co-Educational,55,87,142,5
704,19170106403,BALIKA VIDYA,,WARD-61,Primary,Department of Education,Urban,Co-Educational,103,87,190,3
705,19170106420,MCLEOD STREET INDIRA ACADEMY,,WARD-61,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,0,0,0,0
706,19170106401,SHRI BHAMA SHAHRYA VIDALAYA,,WARD-61,Primary,Department of Education,Urban,Co-Educational,82,38,120,4
707,19170106428,SHRI LAKSHMI UP PATHSHALA,,WARD-61,Primary,Department of Education,Urban,Co-Educational,5,15,20,1
708,19170106417,SRI BHAMA SHAH ARYA VIDYALAYA,,WARD-61,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,236,0,236,8
709,19170106510,MODERN SCHOOL,,WARD-62,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,459,0,459,23
710,19170106606,SEVENTH DAY ADVENTIST SR. SEC.,,WARD-63,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,516,111,627,13
711,19170106715,CENTRAL MODEL SCHOOL,,WARD-64,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,178,113,291,11
712,19170106726,CRESCENT DAY SCHOOL,,WARD-64,Pr. with Up.Pr. & sec./H.Sec.,Un-Recognised,Urban,Co-Educational,0,0,0,3
713,19170106704,DR. A. M. O GHANI MP SCHOOL,,WARD-64,Primary,Department of Education,Urban,Co-Educational,173,263,436,11
714,19170106718,KASIA BAGAN URDU GIRLS JR. HIGH,,WARD-64,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,385,385,0
715,19170106703,MADRASA TALIMATE ISLAM,,WARD-64,Primary,Department of Education,Urban,Co-Educational,15,22,37,3
716,19170106722,MODERN COLLEGIATE SCHOOL,,WARD-64,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,185,160,345,4
717,19170106721,ORIENT GIRLS' JUNIOR HIGH SCHOOL,,WARD-64,Primary with Upper Primary,Pvt. Unaided,Urban,Girls only,0,0,0,0
718,19170106727,OUR LADY QUEEN OF THE MISSIONS SCH,,WARD-64,Pr. with Up.Pr. & sec./H.Sec.,Others,Urban,Girls only,0,770,770,1
719,19170106707,PARK CIRCUS GIRLS HIGH,SCHOOL,WARD-64,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,432,432,0
720,19170106723,PARK CIRCUS GIRLS SCHOOL,,WARD-64,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,28,21,49,0
721,19170106701,PARK CIRCUS GIRLS SCHOOL (PRY),,WARD-64,Primary,Local body,Urban,Co-Educational,0,156,156,0
722,19170106717,PARK CIRCUS HIGH SCHOOL (H.S),,WARD-64,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,514,0,514,12
723,19170106705,PARKCIRCUS PRY SCHOOL,,WARD-64,Primary,Department of Education,Urban,Co-Educational,66,58,124,6
724,19170106702,SOCIAL WELFARE ORGANIGATION PR,,WARD-64,Primary,Department of Education,Urban,Co-Educational,61,67,128,1
725,19170106725,THE ASSEMBLY OF GOD CHURCH SCH,,WARD-64,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,1121,426,1547,32
726,19170106832,ASHOK HALL GIRL'S H.S. SCHOOL,,WARD-65,Primary,Pvt. Unaided,Urban,Girls only,0,0,0,1
727,19170106836,B.R.AMBEDKAR SPORTING CLUB NCLP,,WARD-65,Primary,Others,Urban,Co-Educational,23,33,56,1
728,19170106809,BINOD PROMOD HINDI SCHOOL,,WARD-65,Primary,Department of Education,Urban,Co-Educational,76,57,133,5
729,19170106833,CALCUTTA ENGLISH SCHOOL,,WARD-65,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,37,18,55,1
730,19170106835,GREEN VALLEY PUBLIC SCHOOL,,WARD-65,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,74,27,101,1
731,19170106837,INDIRA GARDEN NCLP CENTRE,,WARD-65,Primary,Others,Urban,Co-Educational,21,30,51,0
732,19170106810,SHREE RABI DAS ADARSHA VID,,WARD-65,Primary,Department of Education,Urban,Co-Educational,29,22,51,3
733,19170106811,SRI RAJENDRA HINDI VIDYALAYA,,WARD-65,Primary,Department of Education,Urban,Co-Educational,29,41,70,4
734,19170106826,SRI SARADA HINDI VIDYALAYA,,WARD-65,Primary,Department of Education,Urban,Co-Educational,40,30,70,2
735,19170106834,ST. CHISTI'S SCHOOL,,WARD-65,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,39,30,69,0
State Name :,WEST BENGAL,,District Code & Name :,1917,KOLKATA,,Total Schools in this district :,,2723,Year,:,2011-12
736,19170106222,GRACE LING LIANG ENGLISH SCHOO,WARD-59,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,0,0,0,1,3
737,19170106221,TILJALA ANJUMAN FALAHUL JR. MA,WARD-59,Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,3,2
738,19170106714,"DON BOSCO SCHOOL, PARK CIRCUS",WARD-64,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Boys only,1733,0,1733,26,60
739,19170106713,MAHADEVI BIRLA GIRLS H.S. SCHO,WARD-64,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Girls only,0,0,0,0,15
740,19170106716,PARK CIRCUS SARAT MEMO.INSTITU,WARD-64,Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,5,0
741,19170106719,PARVEZ SHAHEDI S.S.K.,WARD-64,Primary,Local body,Urban,Co-Educational,35,40,75,0,2
,,Cluster Code & Name:,1917010050,G.S.F.P SCHOOL,,,,,,,,
742,19170106822,ADI BALLYGUNGE VID.,WARD-65,Up. Primary with sec./H.sec,Department of Education,Urban,Co-Educational,209,172,381,15,1
743,19170106823,WAHED MEMORIAL JR. HIGH SCH,WARD-65,Up. Primary with sec./H.sec,Department of Education,Urban,Co-Educational,122,137,259,4,2
744,19170107108,BALLYGUNGE VIDYALAYA SILPA SIK,WARD-68,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,236,236,0,14
745,19170107109,KAMALA CHATTERJEE SCHOOL FOR G,WARD-68,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,633,633,0,41
746,19170107113,SATYABHAMA INST. FOR BOYS',WARD-68,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,141,0,141,12,4
747,19170107213,BUSTEE WELFARE CENTRE,WARD-69,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,4,6
748,19170107223,MODERN HIGH SCHOOL FOR GIRLS,WARD-69,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Girls only,0,1337,1337,0,113
749,19170107215,NATIONAL HIGH SCHOOL BOYS,WARD-69,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,46,10,56,0,17
750,19170107210,PUDDOPUKUR INSTITUTION (H),WARD-69,Up. Primary with sec./H.sec,Department of Education,Urban,Co-Educational,41,0,41,11,7
751,19170107221,RABINDRA S.S.K.,WARD-69,Primary,Local body,Urban,Co-Educational,32,28,60,0,2
752,19170107211,SMT.JAHAR NANDI VIDYPITH,WARD-69,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,178,178,0,18
,,Cluster Code & Name:,1917010036,GANGAPURI SIKSHA SADAN,,,,,,,,
753,19170111705,CHAKDHA F.P SCHOOL,WARD-114,Primary,Department of Education,Urban,Co-Educational,129,130,259,4,5
754,19170111707,DINESH SMRITI ADARSHA PRATHAMI,WARD-114,Primary,Department of Education,Urban,Co-Educational,86,80,166,4,6
755,19170111706,GANGAPURI FP SCHOOL,WARD-114,Primary,Department of Education,Urban,Co-Educational,98,76,174,3,7
756,19170111715,GANGAPURI PRIMARY SCHOOL (BOYS),WARD-114,Primary,Pvt. Unaided,Urban,Boys only,250,0,250,3,8
757,19170111717,GANGAPURI PRIMARY SCHOOL (GIRLS),WARD-114,Primary,Pvt. Unaided,Urban,Co-Educational,240,235,475,4,4
758,19170111712,GANGAPURI SIKSHA SADAN,WARD-114,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,782,0,782,41,5
759,19170111711,GARGAPURI SIKSHA SADAN GIRLS,WARD-114,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,622,622,0,31
760,19170111710,NIGAMANANDA ADARSHA VIDYAPITH,WARD-114,Primary,Department of Education,Urban,Co-Educational,1,1,2,0,2
761,19170111708,PURBAPUTIARY RFP(NEW),WARD-114,Primary,Department of Education,Urban,Co-Educational,7,3,10,2,0
762,19170111704,RAMKRISHNA NAGAR FP SCHOOL,WARD-114,Primary,Department of Education,Urban,Co-Educational,23,38,61,2,2
763,19170111703,RAMKRISHNA NAGAR GSFP SCHOOL,WARD-114,Primary,Department of Education,Urban,Co-Educational,67,42,109,2,3
764,19170111714,ST. CLARE SCHOOL,WARD-114,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,191,150,341,5,14
765,19170111719,TALBAGAN LITTLE STAR SCHOOL,WARD-114,Primary,Un-Recognised,Urban,Co-Educational,0,0,0,2,5
766,19170108913,KAMALA GIRLS SCHOOL,WARD-86,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,605,605,0,47
State Name :,WEST BENGAL,,District Code & Name :,1917,KOLKATA,,Total Schools in this district :,,2723,Year,:,2011-12
767,19170108901,KAMALA GIRLS SCHOOL,WARD-86,Primary,Department of Education,Urban,Girls only,0,619,619,2,14
768,19170108914,LAKE SCH FOR GIRLS,WARD-86,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,380,380,0,39
769,19170109304,LAKE VIEW GIRLS HIGH SCHOOL,WARD-90,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,107,107,0,11
770,19170109303,LAKE VIEW HIGH SCHOOL(BOYS),WARD-90,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,174,0,174,20,0
771,19170109312,LAKE VIEW PRIMARY SCHOOL,WARD-90,Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,0,6
772,19170109302,TIRTHAPATI INSTITUTION,WARD-90,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,568,0,568,28,9
773,19170109301,TIRTHAPATI INSTITUTION(P.S),WARD-90,Primary,Department of Education,Urban,Boys only,500,0,500,2,12
,,Cluster Code & Name:,1917010093,GARFA F.P. SCHOOL,,,,,,,,
774,19170109539,JADAVPUR HINDI VIDYALAYA (MORNING),WARD-92,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,4,2
,,Cluster Code & Name:,1917010024,GORACHAND RD.URDU GSFP,,,,,,,,
775,19170105505,CONVENT OF OUR LADY OF PROV(G),WARD-52,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Aided,Urban,Girls only,0,475,475,2,17
776,19170105614,BEGUM ROQUAYA S.S.K.,WARD-53,Primary,Local body,Urban,Co-Educational,24,26,50,0,2
777,19170105703,ANJUMAN GIRLS,WARD-54,Primary,Department of Education,Urban,Girls only,0,768,768,0,19
778,19170105705,ANJUMAN GIRLSHIGH S.,WARD-54,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,1029,1029,0,32
779,19170105713,ANJUMAN ISLAMIA GIRL'S PRY SCHOOL,WARD-54,Primary,Pvt. Unaided,Urban,Girls only,0,251,251,0,7
780,19170105704,ANJUMAN ISLIMA GIRLS H.S.,WARD-54,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,568,568,0,15
781,19170105718,ANJUMAN MOFIDUL ISLAM GIRLS PRY,WARD-54,Primary,Others,Urban,Girls only,0,177,177,0,10
782,19170105706,ANJUMAN MUFIDUL ISLAM GIRLS HI,WARD-54,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,638,638,0,14
783,19170105702,BENIA POKHER MUSLIM GIRLS,WARD-54,Primary,Department of Education,Urban,Girls only,0,105,105,0,8
784,19170105714,BENIAPOKHER MUSLIM GIRL'S SCHOOL,WARD-54,Upper Primary only,Pvt. Unaided,Urban,Girls only,0,0,0,0,5
785,19170105712,ENTALLY ACADEMY,WARD-54,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,95,0,95,6,5
786,19170105701,ENTALLY ACADEMY(PRY),WARD-54,Primary,Department of Education,Urban,Girls only,0,33,33,2,2
787,19170105717,SARADA VIDYA BHAWAN,WARD-54,Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,2,3
788,19170105711,SARADA VIDYA BHAWAN,WARD-54,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,58,58,0,12
789,19170105818,HOLY CHILD GIRLS H.S. SCHOOL,WARD-55,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Girls only,0,587,587,0,28
790,19170106227,AUDDY BAGAN HAMEED HAKIM F.P. SCH,WARD-59,Primary,Pvt. Unaided,Urban,Co-Educational,21,20,41,0,2
791,19170106228,AUXILIUM PARISH SCHOOL,WARD-59,Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,0,9
792,19170106211,BALVIDYA NIKETAN,WARD-59,Primary,Department of Education,Urban,Co-Educational,66,55,121,5,0
793,19170106219,CHRISTOPHER RD.G.S.H.S.G.,WARD-59,Pr. with Up.Pr. & sec./H.Sec.,Department of Education,Urban,Co-Educational,14,761,775,0,35
794,19170106210,DEVI PANKOJ AB PRATH VID(MORN),WARD-59,Primary,Department of Education,Urban,Co-Educational,28,24,52,2,1
795,19170106209,DEVI PANKOJINI AB.PRATH VID(D),WARD-59,Primary,Department of Education,Urban,Co-Educational,13,12,25,2,0
796,19170106223,DR. IQBAL PRIMARY SCHOOL,WARD-59,Primary,Others,Urban,Co-Educational,71,86,157,0,4
797,19170106220,GOBRA KAZIN.S.S.H.S.,WARD-59,Up. Primary with sec./H.sec,Department of Education,Urban,Co-Educational,191,222,413,9,5
State Name :,WEST BENGAL,,District Code & Name :,1917,KOLKATA,,Total Schools in this district :,,2723,Year,:,2011-12
798,19170106225,PRANATI BHATTACHARJEE S.S.K.,WARD-59,Primary,Local body,Urban,Co-Educational,20,27,47,0,2
799,19170106226,SADHANA GHOSH S.S.K.,WARD-59,Primary,Local body,Urban,Co-Educational,12,14,26,0,2
800,19170106203,SHRI SARVODAYA VIDYAPITH,WARD-59,Primary,Department of Education,Urban,Co-Educational,49,37,86,2,2
801,19170106206,TOPSIA PRY SCHOOL,WARD-59,Primary,Department of Education,Urban,Co-Educational,12,28,40,2,4
802,19170106321,ALBANY HALL PUBLIC SCHOOL,WARD-60,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,1074,632,1706,25,19
803,19170106304,AZAD PRY SCHOOL,WARD-60,Primary,Department of Education,Urban,Co-Educational,55,50,105,5,2
804,19170106301,BASHRAT MEMORIAL PRATH SCH,WARD-60,Primary,Department of Education,Urban,Boys only,23,0,23,3,0
805,19170106309,BENEPUKUR VIDYAPITH,WARD-60,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,52,0,52,8,0
806,19170106312,BENEPUKUR VIDYAPITH,WARD-60,Primary,Department of Education,Urban,Boys only,91,0,91,2,2
807,19170106307,BENIAPUKUR PRY SCH,WARD-60,Primary,Department of Education,Urban,Co-Educational,117,32,149,8,0
808,19170106308,DEBENDRA VIDYAPITH FOR GIRL(P),WARD-60,Primary,Department of Education,Urban,Girls only,0,155,155,2,4
809,19170106318,DEBENDRA VIDYAPITH FOR GIRLS,WARD-60,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,176,176,0,13
810,19170106302,FURQANIA DAY PRY SCH,WARD-60,Primary,Department of Education,Urban,Co-Educational,69,44,113,6,1
811,19170106306,GORACHAND R.D.U. G.S.F.P. SCH,WARD-60,Primary,Department of Education,Urban,Co-Educational,55,38,93,5,1
812,19170106303,ISLAMIA H.S. SCH(PRY),WARD-60,Primary,Department of Education,Urban,Boys only,505,0,505,16,0
813,19170106313,ISLAMIA HIGH SCHOOL (BOYS),WARD-60,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,635,0,635,18,0
814,19170106319,MADRASAH-TUL-ATFAL,WARD-60,Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,3,0
815,19170106305,NEHRU PRY(SCH),WARD-60,Primary,Department of Education,Urban,Co-Educational,60,50,110,6,1
816,19170106327,QURAISH URDU SSK,WARD-60,Primary,Others,Urban,Co-Educational,63,65,128,0,4
817,19170106323,RAHMANIA COACHING CENTRE,WARD-60,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,0,0,0,4,1
818,19170106322,RAHMANIA EDU CENTRE,WARD-60,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,2,2
819,19170106324,SATTAR MEMORIAL HALL,WARD-60,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,136,67,203,0,7
820,19170106320,TANTI BAGH GIRLS PRIMARY SCHOO,WARD-60,Primary,Others,Urban,Girls only,0,155,155,0,6
821,19170106325,THE QURAISH INSTITUTE,WARD-60,Pr. with Up.Pr. & sec./H.Sec.,Un-Recognised,Urban,Co-Educational,0,0,0,1,13
822,19170106422,ALL SAINTS' DAY SCHOOL,WARD-61,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,0,0,0,3,5
823,19170106416,APEEJAY SCHOOL,WARD-61,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,509,127,636,11,40
824,19170106411,ELLIOT DAY SCHOOL,WARD-61,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,3,6
825,19170106415,GREEN PARK SCHOOL,WARD-61,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,3,9
826,19170106410,JEWISH GIRLS' SCHOOL,WARD-61,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Girls only,0,0,0,20,0
827,19170106402,NATIONAL DAY GSFP SCHOOL,WARD-61,Primary,Department of Education,Urban,Co-Educational,31,41,72,3,1
828,19170106421,NEW HORIZON ENGLISH SCHOOL,WARD-61,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,0,8
829,19170106429,THE FRANK ANTHONY PUBLIC SCHOOL,WARD-61,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,1016,204,1220,25,46
830,19170106517,ALIMUDDIN S.S.K.,WARD-62,Primary,Local body,Urban,Co-Educational,39,35,74,0,2
State Name :,WEST BENGAL,,District Code & Name :,1917,KOLKATA,,Total Schools in this district :,,2723,Year,:,2011-12
831,19170106518,C.M.O GIRLS PRY SCHOOL - BENGALI,WARD-62,Primary,Pvt. Unaided,Urban,Girls only,0,0,0,0,2
832,19170106501,C.M.Q GIRLS PRY SCHOOL,WARD-62,Primary,Pvt. Unaided,Urban,Girls only,0,56,56,0,3
833,19170106519,KINGS PARK SCHOOL,WARD-62,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,1,7
834,19170106516,MADARSA- TUS- SABAYA,WARD-62,Primary,Pvt. Aided,Urban,Girls only,0,203,203,0,7
835,19170106511,MADRASA IMDAD UL ULUM G.S.F.P,WARD-62,Primary,Department of Education,Urban,Co-Educational,36,25,61,3,0
836,19170106502,RAZA SHAHWARSI,WARD-62,Primary,Department of Education,Urban,Co-Educational,13,14,27,1,1
837,19170106515,SHEILAS DAY KIDDES OWN SCHOOL,WARD-62,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,1,1
838,19170106521,ST. MARY'S SCHOOL,WARD-62,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Boys only,0,0,0,18,21
,,Cluster Code & Name:,1917010071,HAIMABATI BANINIKETAN,,,,,,,,
839,19170110701,20 PALLY PRATHAMIK VIDYALAYA,WARD-104,Primary,Department of Education,Urban,Co-Educational,23,32,55,1,2
840,19170110702,GARFA F.P.SCHOOL,WARD-104,Primary,Department of Education,Urban,Co-Educational,47,32,79,3,2
841,19170110720,JOY JATRI S.S.K.,WARD-104,Primary,Local body,Urban,Co-Educational,31,23,54,0,2
842,19170110704,PRATAPGARH F.P. SCHOOL,WARD-104,Primary,Department of Education,Urban,Co-Educational,33,32,65,2,4
843,19170110705,SANTOSHPUR SIKSHAYATAN,WARD-104,Primary,Department of Education,Urban,Co-Educational,89,89,178,1,6
844,19170110805,HAIMABATI BANINIKETAN,WARD-105,Primary,Department of Education,Urban,Co-Educational,17,18,35,0,2
845,19170110801,HALTU F.P SCHOOL,WARD-105,Primary,Department of Education,Urban,Co-Educational,14,15,29,1,3
846,19170110803,KISHALAYA SIKSHA SADAN,WARD-105,Primary,Department of Education,Urban,Co-Educational,45,31,76,1,3
847,19170110905,GARFA SHIBTALA F.P. SCH,WARD-106,Primary,Department of Education,Urban,Co-Educational,28,32,60,1,3
848,19170110904,HALTU VIDYA MANDIR,WARD-106,Primary,Department of Education,Urban,Co-Educational,14,9,23,2,2
849,19170110902,KALIDASI MITRA VIDYALAYA,WARD-106,Primary,Department of Education,Urban,Co-Educational,38,42,80,2,3
850,19170110901,KRISHNA MONDAL VIDYA MANDIR,WARD-106,Primary,Department of Education,Urban,Co-Educational,177,171,348,7,8
851,19170111118,ADARSHA NAGAR KMCP VIDYALAYA,WARD-108,Primary,Local body,Urban,Co-Educational,81,64,145,2,4
,,Cluster Code & Name:,1917010014,HALSI BAGAN GSFP SCHOOL,,,,,,,,
852,19170110332,HASHI KHUSHI,WARD-100,Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,0,6
853,19170101408,ULTADANGA SAMMILITA BALIKA VID,WARD-12,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,101,101,0,11
854,19170101501,ANNADA MAYEE VIDYAMANDIR,WARD-13,Primary,Department of Education,Urban,Co-Educational,14,14,28,0,3
855,19170101502,CHAYANIKA VIDYAMANDIR,WARD-13,Primary,Department of Education,Urban,Co-Educational,59,69,128,2,4
856,19170101503,DIPENDU BHARATI SMRITI VIDYALA,WARD-13,Primary,Department of Education,Urban,Co-Educational,39,36,75,3,2
857,19170101519,NEW ST. THOMAS PUB. SCH. (HINDI) D.,WARD-13,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,3,4
858,19170101505,RASHMONI VIDYAMANDIR,WARD-13,Primary,Department of Education,Urban,Co-Educational,36,35,71,1,3
859,19170101507,SARADA PR.PRATHAMIK BALIKA VID,WARD-13,Primary,Department of Education,Urban,Co-Educational,51,166,217,1,10
860,19170101518,SARADA PRASAD INST. FOR GIRL'S,WARD-13,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,507,507,0,21
861,19170101511,SUDHIR PAUL PRATHAMICK VIDYALA,WARD-13,Primary,Department of Education,Urban,Co-Educational,33,40,73,2,3
State Name :,WEST BENGAL,,District Code & Name :,1917,KOLKATA,,Total Schools in this district :,,2723,Year,:,2011-12
862,19170101512,ULTADANGA PRATHAMICK BALIKA VI,WARD-13,Primary,Department of Education,Urban,Co-Educational,98,154,252,1,9
863,19170101514,VIVEKANANDA PRATHAMIK VIDYALAY,WARD-13,Primary,Department of Education,Urban,Co-Educational,38,43,81,1,2
864,19170101701,ARUN GHOSH SMRITI PRATHAMICK V,WARD-15,Primary,Department of Education,Urban,Co-Educational,11,7,18,1,1
865,19170101717,BANIPITH GIRLS H.S SCHOOL,WARD-15,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,333,333,0,33
866,19170101702,BANIPITH GIRLS PRIMARY,WARD-15,Primary,Department of Education,Urban,Girls only,0,270,270,0,11
867,19170101719,G. SINGH MEMORIAL SCHOOL,WARD-15,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,146,66,212,1,9
868,19170101703,GOURI BARI ADARSHA PRATH. VIDY,WARD-15,Primary,Department of Education,Urban,Co-Educational,12,22,34,0,2
