"",School,,School,,School,Location &,,,Enrolment,,,,Teachers,Class
144,07010104704 MANGOLPUR KALAN-G(CO-ED)SSS,047-MANGOLPURI Up. Primary with sec./H.sec,,,Department of EducatioUnrban Co-Educational,,,373,390,763,7,,18 25,22
145,"07010104707 MANGOLPURI, BLOCK K-SBV",047-MANGOLPURI Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Boys only,,,1064,0,1064,30,,0 30,34
146,"07010104706 MANGOLPURI, BLOCK O-GBSSS",047-MANGOLPURI Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,792,0,792,27,,0 27,19
147,"07010104705 MANGOLPURI, BLOCK O-SKV",047-MANGOLPURI Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,387,1261,1648,3,,38 41,49
148,"07010104703 MANGOLPURI, KHRUD-G(CO-ED)SSS047-MANGOLPURI",Up. Primary with sec./H.sec,,,Department of EducatioUnrban Co-Educational,,,207,275,482,7,,10 17,18
149,"07010104702 MANGOLPURI,BLK-J,S(CO-ED)S.S.V",047-MANGOLPURI Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,629,948,1577,19,,20 39,35
150,"07010104701 MONGOLPURI, BLOCK D GBSSS",047-MANGOLPURI Up. Primary with sec./H.sec,,,Department of EducatioRnural,Boys only,,375,0,375,13,,3 16,15
151,"07010104802 MANGOLPURI, BLOCK Q-GGSSS",048-MANGOLPURI WEPSr.T with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Girls only,,,0,886,886,1,,35 36,32
152,"07010104805 MANGOLPURI, BLOCK R-GBSSS",048-MANGOLPURI WEPSr.T with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Boys only,,,761,0,761,13,,0 13,4
153,"07010104806 MANGOLPURI, BLOCK U-GBSSS",048-MANGOLPURI WEUSpT. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,541,0,541,14,,0 14,17
154,"07010104804 MANGOLPURI, BLOCK U-SKV",048-MANGOLPURI WEPSr.T with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,332,1031,1363,0,,50 50,37
155,"07010104901 ROHINI, SECTOR 15-G(CO-ED)SSS",049-ROHINI NORTH Up. Primary with sec./H.sec,,,Department of EducatioUnrban Co-Educational,,,495,300,795,6,,9 15,21
156,07010105102 PARSHANT VIHAR-GBSSS,051-ROHINI EAST Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,420,0,420,12,,1 13,12
157,07010105101 SEC8ROHINI-S(CO-ED)VIDYALAYA,051-ROHINI EAST Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,441,418,859,4,,26 30,8
158,"07010105201 ROHINI, SECTOR 7-SV",052-NAHARPUR Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,682,441,1123,8,,23 31,35
159,"07010105301 PITAMPURA, BLOCK GP- CO-EDSSS",053-PITAM PURA (SOUPTr.H with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,615,458,1073,5,,25 30,30
160,07010105404 HAIDER PUR-GBSS,054-PITAMPURA (NORUTpH. Primary with sec./H.sec,,,Department of EducatioRnural,Boys only,,578,0,578,10,,1 11,15
"",School,,School,,School,Location  &,,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,,Category,,Management,Type of School,,,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code & Name: 070101,DOE,,Total Schools in this block :,218,,,,,,,,,
"",Cluster Code & Name:,0701010001 DEFAULT,,,,,,,,,,,,
161,"07010105403 PITAMPURA, BLOCK FU-SV",054-PITAMPURA (NORPTrH. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,723,328,1051,8,,21 29,35
162,"07010105402 PITAMPURA, BLOCK SU-GGSSS",054-PITAMPURA (NORUTpH. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,313,313,0,,10 10,11
163,07010105502 HAIDER PUR-G(CO-ED)SS,055-SHALIMAR BAGH Up. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,627,627,0,,15 15,14
164,07010105505 SHALAMAR VILLAGE-GBSSS,055-SHALIMAR BAGH Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,713,0,713,5,,0 5,17
165,"07010105504 SHALIMAR BAGH, BLOCK BL-GBSSS",055-SHALIMAR BAGH Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,425,0,425,15,,0 15,14
166,"07010105501 SHALIMAR BAGH, BLOCK BL-SKV",055-SHALIMAR BAGH Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Girls only,,,0,823,823,1,,22 23,26
167,07010105503 SHALIMAR VILLAGE-G(CO-ED)SSS,055-SHALIMAR BAGH Up. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,427,427,1,,9 10,11
168,"07010105604 SHALIMAR BAGH, BLOCK AP-GBSSS",056-SHALIMAR BAGH Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,246,0,246,10,,0 10,12
169,"07010105602 SHALIMAR BAGH, BLOCK AP-GGSSS 056-SHALIMAR BAGH Up. Primary with sec./H.sec",,,,Department of EducatioUnrban Girls only,,,0,410,410,0,,15 15,15
170,"07010105603 SHALIMAR BAGH, BLOCK B(AH)-GGSS0S56-SHALIMAR BAGH Pr. with Up.Pr. & sec./H.Sec.",,,,Department of EducatioUnrban Co-Educational,,,140,338,478,6,,12 18,22
171,"07010105606 SHALIMAR BAGH, BLOCK B(AH)-SBV",056-SHALIMAR BAGH Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,422,0,422,10,,2 12,15
172,"07010105601 SHALIMAR BAGH, BLOCK BT-RPVV",056-SHALIMAR BAGH Up. Primary with sec./H.sec,,,Department of EducatioUnrban Co-Educational,,,142,64,206,4,,4 8,15
173,"07010105605 SHALIMAR BAGH, BLOCK BT-SV",056-SHALIMAR BAGH Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,868,224,1092,7,,26 33,31
174,07010105903 RANI BAGH-GBSSS,059-RANI BAGH Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,314,0,314,8,,0 8,10
175,07010105902 RANI BAGH-GGSSS,059-RANI BAGH Up. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,441,441,0,,17 17,17
176,07010105901 SAINIK VIHAR-G(CO-ED)SS,059-RANI BAGH Up. Primary with sec./H.sec,,,Department of EducatioUnrban Co-Educational,,,244,1,245,2,,9 11,13
177,07010106004 KAILASH ENCLAVE-SV,060-SARASWATI VIHAPRr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,524,347,871,5,,26 31,28
178,"07010106003 SARASWATI VIHAR, BLOCK A-GGSSS060-SARASWATI VIHAURp. Primary with sec./H.sec",,,,Department of EducatioUnrban Girls only,,,0,296,296,0,,12 12,14
179,"07010106002 SARASWATI VIHAR, BLOCK C-SV",060-SARASWATI VIHAPRr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,475,222,697,7,,21 28,23
180,07010106001 SHARDA NIKETAN-SV,060-SARASWATI VIHAPRr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,436,229,665,6,,21 27,23
181,"07010106102 TRI NAGAR, NARANG COLONY-GBSS061-TRINAGAR",Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,294,0,294,6,,1 7,11
182,"07010106101 TRI NAGAR, NARANG COLONY-GGSS0S61-TRINAGAR",Up. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,240,240,0,,11 11,12
183,07010106204 RAMPURA-GBSS,062-RAM PURA Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,172,0,172,8,,0 8,8
184,07010106202 RAMPURA-SKV,062-RAM PURA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Co-Educational,,244,354,598,1,,15 16,18
185,"07010106201 SHAKURPUR, NO.1-GGSSS",062-RAM PURA Up. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,344,344,0,,4 4,16
186,"07010106205 SHAKURPUR, NO.1-SBV",062-RAM PURA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Boys only,,798,0,798,22,,2 24,25
187,"07010106203 SHAKURPUR, NO.2-SKV",062-RAM PURA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,63,727,790,0,,30 30,30
188,07010106301 ANANDWAS-GGSS,063-KOHAT ENCLAVEUp. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,621,621,0,,19 19,19
189,07010106302 ANANDWAS-SBV,063-KOHAT ENCLAVEPr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,1170,65,1235,25,,2 27,33
190,07010106401 ANANDWAS-GGSSS,064-SHAKAR PUR Up. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,502,502,0,,17 17,16
191,"07010106402 SHAKURPUR, NO.2-GBSSS",064-SHAKAR PUR Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,484,0,484,12,,1 13,15
192,"07010106502 WAZIRPUR, J.J. COLONY-SKV",065-NEEMRI COLONYPr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,360,1206,1566,2,,41 43,33
"",School,,School,School,,Location &,,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,,Category,Management,,Type of School,,,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code & Name: 070101,DOE,Total Schools in this block :,,218,,,,,,,,,
"",Cluster Code  & Name:,0701010001 DEFAULT,,,,,,,,,,,,
193,07010106601 BHARAT NAGAR-SKV,066-SAWAN PARK Pr. with Up.Pr. & sec./H.Sec.,,Department of EducatioUnrban Co-Educational,,,,312,408,720,1,,25 26,23
194,"07010106705 KESHAVPURAM, BLOCK A-SKV",067-WAZIRPUR Pr. with Up.Pr. & sec./H.Sec.,,Department of EducatioUnrban Co-Educational,,,,335,417,752,1,,6 7,24
195,"07010106707 KESHAVPURAM, NO.1-GBSSS",067-WAZIRPUR Up. Primary with sec./H.sec,,Department of EducatioUnrban Boys only,,,,265,0,265,14,,0 14,10
196,"07010106703 KESHAVPURAM, NO.1-SKV",067-WAZIRPUR Pr. with Up.Pr. & sec./H.Sec.,,Department of EducatioUnrban Co-Educational,,,,376,466,842,0,,28 28,27
197,"07010106706 KESHAVPURAM, NO.2-GBSSS",067-WAZIRPUR Up. Primary with sec./H.sec,,Department of EducatioUnrban Boys only,,,,314,0,314,7,,1 8,12
198,"07010106702 KESHAVPURAM, NO.2-SKV",067-WAZIRPUR Pr. with Up.Pr. & sec./H.Sec.,,Department of EducatioUnrban Co-Educational,,,,273,433,706,1,,19 20,24
199,07010106701 WAZIRPUR VILLAGE-SV,067-WAZIRPUR Pr. with Up.Pr. & sec./H.Sec.,,Department of EducatioRnural,,Co-Educational,,337,260,597,7,,11 18,18
200,"07010106704 WAZIRPUR, J.J. COLONY-GBSS",067-WAZIRPUR Up. Primary with sec./H.sec,,Department of EducatioUnrban Boys only,,,,902,0,902,14,,1 15,26
201,"07010106806 ASHOK VIHAR, BLOCK D-GBSSS",068-ASHOK VIHAR Up. Primary with sec./H.sec,,Department of EducatioUnrban Boys only,,,,474,0,474,14,,0 14,14
202,"07010106801 ASHOK VIHAR, BLOCK D-GGSSS",068-ASHOK VIHAR Up. Primary with sec./H.sec,,Department of EducatioUnrban Girls only,,,,0,365,365,0,,10 10,11
203,"07010106807 ASHOK VIHAR, PHASE I, BLOCK H-SBV068-ASHOK VIHAR",Pr. with Up.Pr. & sec./H.Sec.,,Department of EducatioUnrban Boys only,,,,575,0,575,15,,0 15,20
204,"07010106803 ASHOK VIHAR, PHASE I, BLOCK H-SKV068-ASHOK VIHAR",Pr. with Up.Pr. & sec./H.Sec.,,Department of EducatioUnrban Co-Educational,,,,4,945,949,1,,30 31,30
205,"07010106805 ASHOK VIHAR, PHASE II-GBSSS",068-ASHOK VIHAR Up. Primary with sec./H.sec,,Department of EducatioUnrban Boys only,,,,744,0,744,9,,2 11,18
206,"07010106802 ASHOK VIHAR, PHASE II-SKV",068-ASHOK VIHAR Pr. with Up.Pr. & sec./H.Sec.,,Department of EducatioUnrban Co-Educational,,,,300,941,1241,0,,17 17,36
207,07010106804 BHARAT NAGAR-GBSSS,068-ASHOK VIHAR Up. Primary with sec./H.sec,,Department of EducatioUnrban Boys only,,,,234,0,234,8,,0 8,10
208,07010107001 C.C. COLONY-SBV,070-RANA PRATAP BAPGr.H with Up.Pr. & sec./H.Sec.,,Department of EducatioUnrban Co-Educational,,,,404,56,460,14,,3 17,29
209,07010107002 KALYAN VIHAR-SV,070-RANA PRATAP BAPGr.H with Up.Pr. & sec./H.Sec.,,Department of EducatioUnrban Co-Educational,,,,255,48,303,2,,4 6,11
210,07010107102 RANA PARTAP BAGH-SBV,071-SANGAM PARK Up. Primary with sec./H.sec,,Department of EducatioUnrban Boys only,,,,321,0,321,7,,0 7,11
211,07010107101 RANA PARTAP BAGH-SKV,071-SANGAM PARK Pr. with Up.Pr. & sec./H.Sec.,,Department of EducatioUnrban Co-Educational,,,,133,602,735,1,,23 24,22
212,07010107201 AZADPUR COLONY-GBSS,072-MODEL TOWN Up. Primary with sec./H.sec,,Department of EducatioUnrban Boys only,,,,563,0,563,11,,0 11,15
213,07010107202 AZADPUR COLONY-GGSS,072-MODEL TOWN Up. Primary with sec./H.sec,,Department of EducatioUnrban Girls only,,,,0,485,485,0,,12 12,14
214,"07010107206 MODEL TOWN, NO.1-GBSSS",072-MODEL TOWN Up. Primary with sec./H.sec,,Department of EducatioUnrban Boys only,,,,757,0,757,12,,0 12,18
215,"07010107204 MODEL TOWN, NO.1-SKV",072-MODEL TOWN Pr. with Up.Pr. & sec./H.Sec.,,Department of EducatioUnrban Girls only,,,,183,796,979,0,,30 30,19
216,"07010107205 MODEL TOWN, NO.2-GBSSS",072-MODEL TOWN Up. Primary with sec./H.sec,,Department of EducatioUnrban Boys only,,,,708,0,708,17,,0 17,13
217,"07010107203 MODEL TOWN, NO.2-GGSS",072-MODEL TOWN Up. Primary with sec./H.sec,,Department of EducatioUnrban Girls only,,,,0,565,565,0,,16 16,17
218,07010107207 NEW POLICE LINES-SV,072-MODEL TOWN Pr. with Up.Pr. & sec./H.Sec.,,Department of EducatioUnrban Co-Educational,,,,698,340,1038,19,,13 32,27
"",Block Code & Name: 070102,DOEAIDED,Total Schools in this block :,,9,,,,,,,,,
"",Cluster Code  & Name:,,,,,,,,,,,,,
219,07010201301 NIRANKARI CL-ST NIRANKARI BOYS S0S1S3-DHIRPUR,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Aided,,Urban Boys only,,751,0,751,8,,5 13,21
220,07010201302 NIRANKARI COLONY-ST NIRANKARI G0S1S3-SDHIRPUR,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Aided,,Urban Girls only,,0,1549,1549,0,,30 30,37
221,07010201701 SAMAIPUR BADLI-DAV SR. SEC. SCHO0O17L-SAMAYPUR BADLUI p. Primary with sec./H.sec,,,Pvt. Aided,,Rural Boys only,,689,0,689,5,,1 6,14
222,07010201801 LIBASPUR-ADARSH SR. SEC. SCHOOL018-LIBASPUR,Up. Primary with sec./H.sec,,Pvt. Aided,,Rural Boys only,,608,0,608,9,,0 9,30
"",School,School,School,,,Location &,,Enrolment,,,,Teachers,,Class
"",Village NameCode School Name,Category,Management,,,Type of School,,,,,,,,rooms
"",,,,,,,Boys,Girls,Total,Male,,Female Total,,
"",Block Code  & Name: 070102,DOEAIDED,Total Schools in this block :,,9,,,,,,,,,
"",Cluster Code & Name:,,,,,,,,,,,,,
223,07010202601 KHERA GARHI-V S AGRI SR SEC SCH0O2O6L-SAHIBABAD DAULUApT. PUriRmary with sec./H.sec,,Pvt. Aided,,,Rural Boys only,313,0,313,5,,2 7,,9
224,07010202902 KANJHAWALA-HARYANA SHAKTI S.S 029-KARALA,Up. Primary with sec./H.sec,Pvt. Aided,,,Rural Co-Educational,53,0,53,3,,0 3,,5
225,"07010204001 SULTANPURI,J.J-GEETA S.S.S,NO.2",040-SULTANPURI SOUPTr.H with Up.Pr. & sec./H.Sec.,Pvt. Aided,,,Urban Co-Educational,1320,66,1386,13,,18 31,,38
226,"07010206701 KESHVPURAM,MANENDER SAKTI VID0Y6A7L-WYAAZIRPUR",Up. Primary with sec./H.sec,Pvt. Aided,,,Urban Girls only,0,287,287,0,,9 9,,12
"",Cluster Code & Name:,0701020001 DEFAULT,,,,,,,,,,,,
227,"07010202801 HAREWALI,ADARSH SANSKRIT VIDYA0 2P8E-EBTAWANA",Up. Primary with sec./H.sec,Pvt. Aided,,,Urban Co-Educational,13,17,30,2,,3 5,,5
"",Block Code & Name: 070103,DOEUNAIDED,Total Schools in this block :,,264,,,,,,,,,
"",Cluster Code  & Name:,,,,,,,,,,,,,
228,07010300101 DAV CENTENARY PUBLIC SCHOOL,001-NARELA Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,,Urban Co-Educational,748,432,1180,7,,35 42,,31
229,07010300102 KASTURI RAM INTERNATIONAL SCHO0O01L-NARELA,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,,Urban Co-Educational,313,179,492,4,,21 25,,20
230,07010300105 MAHARAJA AGARSAIN PUBLIC SCHO0O0L1-NARELA,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,,Urban Co-Educational,596,310,906,8,,29 37,,31
231,07010300103 NATIONAL PUBLIC SCHOOL,001-NARELA Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,,Rural Co-Educational,360,176,536,0,,18 18,,19
232,07010300104 NEW HAPPY PUBLIC SCHOOL,001-NARELA Primary with Upper Primary,Pvt. Unaided,,,Urban Co-Educational,349,186,535,2,,17 19,,15
233,07010300203 BHARTMATA SARASWATI BAL MANDI0R02-BANKNER,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,,Rural Co-Educational,213,38,251,1,,6 7,,15
234,07010300201 RAJDHANI PUBLIC SCHOOL,002-BANKNER Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,,Urban Co-Educational,250,106,356,1,,13 14,,17
235,07010300202 SHANTI DEVI PUBLIC SCHOOL,002-BANKNER Primary with Upper Primary,Pvt. Unaided,,,Urban Co-Educational,100,22,122,2,,9 11,,5
236,07010300307 D.A.V PUBLIC SCHOOL,003-ALIPUR Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,,Rural Co-Educational,291,155,446,3,,21 24,,15
237,07010300308 JAI MANN PUBLIC SCHOOL,003-ALIPUR Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,,Rural Co-Educational,264,158,422,0,,21 21,,20
238,07010300306 JAIN BHARATI MRIGAVATI VIDYALAYA003-ALIPUR,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,,Rural Co-Educational,737,405,1142,1,,37 38,,35
239,07010300302 KHERA KHURD-ST. JOHN CO-ED SEC003-ALIPUR,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,,Rural Co-Educational,168,61,229,0,,5 5,,20
240,07010300309 MANN PUBLIC SCHOOL,003-ALIPUR Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,,Rural Co-Educational,366,141,507,6,,18 24,,22
241,07010300303 MATA SUKHDEVI PUBLIC SCHOOL,003-ALIPUR Primary with Upper Primary,Pvt. Unaided,,,Rural Co-Educational,323,118,441,2,,17 19,,12
242,07010300305 PANDIT NANDRAM MODEL SCHOOL,003-ALIPUR Primary with Upper Primary,Pvt. Unaided,,,Urban Co-Educational,43,32,75,0,,9 9,,8
243,07010300304 RANA MODEL SCHOOL,003-ALIPUR Primary with Upper Primary,Pvt. Unaided,,,Rural Co-Educational,177,183,360,3,,6 9,,8
244,07010300310 ST.JOHNS PUBLIC SCHOOL,003-ALIPUR Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,,Urban Co-Educational,345,151,496,5,,14 19,,20
245,07010300401 BHAGAT JI MEMORIAL MODEL SCHOO00L4-BAKHTAWARPURPr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,,Rural Co-Educational,380,195,575,2,,17 19,,23
246,07010300403 BUDH SINGH MEMORIAL PUBLIC SCH0O0O4-LBAKHTAWARPURPrimary with Upper Primary,,Pvt. Unaided,,,Rural Co-Educational,296,161,457,3,,7 10,,10
247,07010300406 CHHOTU RAM PUBLIC SCHOOL,004-BAKHTAWARPURPr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,,Rural Co-Educational,256,177,433,3,,12 15,,13
248,07010300405 K.M. SCHOOL,004-BAKHTAWARPURPrimary with Upper Primary,Pvt. Unaided,,,Rural Co-Educational,318,212,530,6,,10 16,,12
249,07010300404 RAJENDER LAKRA MODEL SCHOOL,004-BAKHTAWARPURPrimary with Upper Primary,Pvt. Unaided,,,Rural Co-Educational,203,112,315,6,,6 12,,9
250,07010300407 SANT GYANESHWAR PUBLIC SCHOO0L04-BAKHTAWARPURPrimary with Upper Primary,,Pvt. Unaided,,,Rural Co-Educational,176,91,267,1,,9 10,,12
251,07010300402 SHRI RAM SHIKSHA MANDIR,004-BAKHTAWARPURPr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,,Rural Co-Educational,552,262,814,5,,32 37,,29
"",School,School,,School,,Location &,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,Category,,Management,,Type of School,,,,,,,rooms
"",,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code  & Name: 070103,DOEUNAIDED,Total Schools in this block :,,264,,,,,,,,
"",Cluster Code & Name:,,,,,,,,,,,,
252,07010300501 PUBLIC MODEL SCHOOL,005-BHALASWA JAHAPNrGimIRarPyU wRitIh Upper Primary,,Pvt. Unaided,,Urban Co-Educational,254,114,368,,0,12 12,11
253,07010301101 SANT NIRANKARI PUBLIC SCHOOL,011-MUKHERJI NAGARPr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,506,268,774,,0,24 24,22
254,07010301201 ANGLO INDIAN PUBLIC SCHOOL,012-G.T.B. NAGAR Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,86,31,117,,0,9 9,8
255,07010301202 LITTLE FAIRY PUBLIC SCHOOL,012-G.T.B. NAGAR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,342,164,506,,0,27 27,21
256,07010301203 NAVJEEVAN MODEL SCHOOL,012-G.T.B. NAGAR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,197,85,282,,0,10 10,12
257,07010301301 ROSARY SR.SEC. SCHOOL,013-DHIRPUR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,1130,722,1852,,6,56 62,44
258,07010301401 ARYA MODEL SCHOOL,014-ADARSH NAGAR Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,309,208,517,,0,17 17,14
259,07010301405 B.C.C MODERN PUBLIC SCHOOL,014-ADARSH NAGAR Primary with Upper Primary,,Pvt. Unaided,,Rural Co-Educational,310,125,435,,3,8 11,11
260,07010301402 JYOTI MODEL SR. SEC. SCHOOL,014-ADARSH NAGAR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,444,278,722,,0,21 21,20
261,07010301403 SANT PARMANAND PUBLIC SCHOOL 014-ADARSH NAGAR Primary with Upper Primary,,,Pvt. Unaided,,Urban Co-Educational,110,51,161,,0,9 9,8
262,07010301404 SRI GURU NANAK PUBLIC SCHOOL,014-ADARSH NAGAR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,732,449,1181,,1,28 29,30
263,07010301501 NAVJEEVAN MODEL SCHOOL,015-SARAI PEPAL THAPLrLimAary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,582,253,835,,1,15 16,17
264,07010301703 JUNIOR MODEL SCHOOL,017-SAMAYPUR BADLPI rimary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,249,119,368,,0,13 13,10
265,07010301702 SOMER VILLE PUBLIC SCHOOL,017-SAMAYPUR BADLPI rimary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,285,125,410,,0,8 8,9
266,07010301704 SONA PUBLIC SCHOOL,017-SAMAYPUR BADLPI r. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,138,75,213,,0,10 10,10
267,07010301701 SUNNY CONVENT SCHOOL,017-SAMAYPUR BADLPI rimary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,144,67,211,,0,8 8,8
268,07010301807 C C MEM PUBLIC SCHOOL,018-LIBASPUR Primary with Upper Primary,,Pvt. Unaided,,Rural Co-Educational,310,173,483,,6,6 12,9
269,07010301802 HIRA PARTAP RAI PUBLIC SCHOOL,018-LIBASPUR Primary with Upper Primary,,Pvt. Unaided,,Rural Co-Educational,132,64,196,,3,6 9,8
270,07010301803 I.P. PUBLIC SCHOOL,018-LIBASPUR Primary with Upper Primary,,Pvt. Unaided,,Rural Co-Educational,130,59,189,,1,8 9,8
271,07010301804 M.N CONVENT SECONDARY SCHOOL018-LIBASPUR,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,155,72,227,,0,7 7,10
272,07010301806 PANACEA NATIONAL PUBLIC SCHOOL018-LIBASPUR,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,136,75,211,,2,8 10,10
273,07010301805 S S SINGH JI INTAL SCHOOL,018-LIBASPUR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,352,177,529,,4,17 21,10
274,07010301801 SILVER OAK PUBLIC SCHOOL,018-LIBASPUR Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,132,87,219,,2,8 10,8
275,07010302112 A-2/15 J.S.PADMA VIDYA NIKETAN,021-ROHINI Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,48,23,71,,0,9 9,8
276,07010302105 ALOK BHARTI PUBLIC SCHOOL,021-ROHINI Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,418,325,743,,1,20 21,20
277,07010302103 BAL BHARATI PUBLIC SCHOOL,021-ROHINI Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,782,686,1468,,1,64 65,58
278,07010302102 C.R.P.F. PUBLIC SCHOOL,021-ROHINI Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,712,453,1165,,9,50 59,42
279,07010302109 DECENT PUBLIC SCHOOL,021-ROHINI Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,155,118,273,,0,10 10,22
280,07010302108 JAIN BHARTI MODEL SCHOOL,021-ROHINI Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,217,136,353,,0,21 21,16
281,07010302106 PRINCE PUBLIC SCHOOL,021-ROHINI Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,223,147,370,,0,15 15,18
282,07010302111 RAJA RAM MOHAN RAY PUBLIC SCHO0O21L-ROHINI,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,274,222,496,,1,14 15,16
